,Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
24,Belize,BLZ,5.028429985046389,5.79708003997803,,5.24905014038086,5.336309909820559,,,,5.7726302146911594,6.17812013626099,6.71981000900269,,,6.425360202789309,6.61472988128662,6.8888897895813,7.28477001190186,7.50989007949829,7.561490058898929,
25,Bermuda,BMU,,,,1.6662700176238998,1.7758799791336102,1.98877000808716,,,,2.61519002914429,2.64421010017395,,,,1.78285002708435,1.69860005378723,,1.50039005279541,,
26,Bolivia,BOL,,,,,,,,,,,,,,,,,,,,
27,Brazil,BRA,3.94893002510071,3.84468007087708,3.7503700256347696,,3.9744799137115496,4.47908020019531,4.87060022354126,4.97425985336304,5.26883983612061,5.4635500907897905,5.648799896240231,5.73741006851196,5.85510015487671,5.8388500213623,5.948480129241941,6.24105978012085,6.314040184021,6.32254981994629,,
28,Barbados,BRB,4.71585988998413,6.05536985397339,5.880620002746579,6.245699882507321,6.0242800712585405,5.669650077819821,,5.22038984298706,4.92259979248047,5.1161799430847195,6.0543999671936,,5.26274013519287,5.14899015426636,6.143499851226809,,4.9513897895813,4.36638021469116,,
29,Brunei Darussalam,BRN,3.7059099674224902,,,,,,,,,,2.0466101169586204,3.3220999240875204,2.88959002494812,,3.3531899452209504,,4.42540979385376,,,
30,Bhutan,BTN,5.513790130615231,5.91572999954224,,,6.60906982421875,7.28714990615845,,,4.9115900993347195,4.74174022674561,4.12473011016846,4.76523017883301,,5.72275018692017,6.04489994049072,7.5900998115539595,6.99333000183105,7.2257399559021,6.85084009170532,
31,Botswana,BWA,,,,,,10.6785898208618,,8.85149002075195,,9.63292026519775,,,,,,,,,,
32,Central African Republic,CAF,1.6126500368118302,,1.5195699930191002,1.53980004787445,1.6245299577713002,1.6522200107574498,1.41506004333496,1.31332004070282,1.29000997543335,1.25458002090454,1.11760997772217,1.10792005062103,,,,,,,,
33,Canada,CAN,5.44199991226196,4.96956014633179,5.010729789733889,,,4.78214979171753,,4.78036022186279,4.63825988769531,4.85264015197754,5.36992979049683,5.27443981170654,,,,,,,,
34,Central Europe and the Baltics,CEB,4.86840009689331,5.0778098106384295,5.1792302131652805,5.07451009750366,4.86113023757935,4.8131599426269505,4.71378993988037,4.5905499458313,4.834539890289309,4.95804023742676,4.7612099647522,4.59010982513428,4.46677517890931,4.5648698806762695,4.61743021011353,4.812260150909419,4.6553897857666,4.0925002098083505,,
35,Switzerland,CHE,4.7814002037048295,4.95980978012085,5.31429004669189,5.52375984191895,5.4457302093505895,5.20410013198853,4.9615797996521,4.68737983703613,4.86799001693726,5.04118013381958,4.926050186157231,4.9698600769042995,5.03337001800537,5.04048013687134,5.05122995376587,5.10057020187378,5.104730129241941,5.13018989562988,,
36,Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,
37,Chile,CHL,3.77583003044128,,4.08121013641357,3.9634599685668905,3.5383899211883505,3.26283001899719,3.0215299129486097,3.2137899398803698,3.79242992401123,4.23064994812012,4.162089824676509,4.04518985748291,,4.52942991256714,4.73094987869263,4.87530994415283,5.3420100212097195,5.4194598197937,,
38,China,CHN,,,,,,,,,,,,,,,,,,,,
39,Cote d'Ivoire,CIV,3.70367002487183,3.66867995262146,4.09033012390137,3.96798992156982,4.1278600692749,4.10575008392334,4.00150012969971,4.2583298683166495,4.34125995635986,4.41245985031128,4.55346012115479,4.13754987716675,4.65410995483398,4.72900009155273,4.57742977142334,3.4941599369049103,3.9723200798034703,3.80347990989685,3.2560300827026403,
40,Cameroon,CMR,1.77991998195648,2.42418003082275,,3.09141993522644,3.0136399269104,2.8871700763702406,2.74145007133484,3.07522988319397,2.61118006706238,3.10942006111145,2.99365997314453,2.7667698860168497,2.6971800327301003,2.76801991462708,2.6871299743652304,2.76804995536804,2.6542301177978502,3.15481996536255,3.13120007514954,
41,"Congo, Dem. Rep.",COD,,,,,,,,,,,1.5249799489975,,,2.0622100830078103,1.9514299631118799,2.17043995857239,2.1186900138855003,1.45494997501373,,
42,"Congo, Rep.",COG,,,3.20831990242004,2.8361599445343,2.28813004493713,1.83577001094818,,,,,6.22078990936279,,,,4.0171999931335405,4.56147003173828,,5.465050220489499,3.51104998588562,
43,Colombia,COL,3.5112099647522004,3.7086799144744904,4.26812982559204,4.325139999389649,4.079349994659419,4.02098989486694,3.91671991348267,4.08301019668579,3.9387800693512003,4.776519775390629,4.83382987976074,4.46608018875122,4.37038993835449,4.8785500526428205,4.629459857940669,4.47038984298706,4.47721004486084,4.535510063171389,4.4574899673461905,
44,Comoros,COM,,,2.25841999053955,,,,,,4.42264986038208,,,2.8304500579833998,2.74783992767334,2.3827600479126,2.7447299957275404,2.5450599193573,,,,
45,Cabo Verde,CPV,,,7.87682008743286,,7.47664022445679,,6.52960014343262,5.407549858093259,5.51800012588501,5.3089599609375,5.56728982925415,5.0436100959777805,,5.001440048217769,4.96387004852295,5.26691007614136,5.2887902259826705,5.18174982070923,,
46,Costa Rica,CRI,4.68696022033691,4.85109996795654,5.17354011535645,5.1563601493835405,4.91217994689941,,4.63918018341064,4.65889978408813,4.9171199798584,6.046350002288821,6.6344499588012695,6.455349922180179,6.6898398399353,6.84933996200562,6.86952018737793,7.0825400352478,7.09768009185791,7.315720081329349,6.97856998443604,7.04875993728638
47,Caribbean small states,CSS,3.86956000328064,4.22316002845765,4.45911991596222,3.6967248916626,3.91254997253418,4.61641979217529,,5.49022006988525,6.19131994247437,6.198480129241941,6.37060022354126,6.26664018630981,6.112460136413571,6.25108003616333,6.016540050506589,5.45577001571655,5.31508016586304,5.2606201171875,5.414780139923099,5.16918992996216
48,Cuba,CUB,7.70481014251709,8.358090400695799,9.57116985321045,9.9408597946167,10.2682304382324,10.5577802658081,9.057169914245609,11.8682098388672,14.059080123901401,13.1248598098755,12.837309837341301,,,,,,,,,
49,Curacao,CUW,,,,,,,,,,,,,,4.93095016479492,,,,,,
50,Cayman Islands,CYM,,,,,,,,,,,,,,,,,,,,
51,Cyprus,CYP,4.989540100097661,5.115520000457759,5.581669807434079,6.6702299118042,6.11772012710571,6.2866702079772905,6.3302698135376,6.28082990646362,6.722760200500491,7.205450057983401,6.542799949646,6.53853988647461,,6.48377990722656,6.4485001564025906,6.346360206604,6.16379976272583,5.7771902084350595,,
52,Czech Republic,CZE,3.65089011192322,3.7485499382019003,3.97255992889404,4.13642978668213,4.01423978805542,3.89037990570068,4.21710014343262,3.86663007736206,3.7445499897003196,4.17127990722656,4.06445980072021,4.27214002609253,4.250860214233399,4.0908899307251,3.9946200847625697,5.7888498306274405,5.58737993240356,3.8540201187133802,,
53,Germany,DEU,,,,,,,4.2939600944519,4.36679983139038,4.43594980239868,4.90951013565063,4.94367980957031,4.82487010955811,4.95658016204834,4.9611101150512695,4.93962001800537,4.83498001098633,4.8402199745178205,4.9051198959350595,,
54,Djibouti,DJI,9.65999984741211,7.80542993545532,8.44760036468506,8.88984966278076,9.26467037200928,8.36588954925537,8.27877998352051,8.40625,,,4.4902200698852495,,,,,3.5902400016784703,3.92439007759094,3.74855995178223,3.62773990631104,
55,Dominica,DMA,,,,,,,,,,,,,,,,3.40858006477356,,,,5.57345008850098
56,Denmark,DNK,8.08434009552002,8.21545028686523,8.2130298614502,8.12193012237549,8.207630157470701,8.08557033538818,7.7299098968505895,7.615600109100339,7.476049900054929,8.44888019561768,8.55955028533936,8.484860420227049,7.23782014846802,8.49442958831787,7.634850025176999,,,7.81608009338379,,
