,LOCATION,Country,INDICATOR,SUBJECT,MEASURE,Year,Value_edu,Value_tu
164,CZE,Czech Republic,EDUADULT,UPPSRY,PC_25_64,2016,70.45525400000001,12.0
165,CZE,Czech Republic,EDUADULT,BUPPSRY,PC_25_64,2017,6.206314099999999,11.7
166,CZE,Czech Republic,EDUADULT,TRY,PC_25_64,2017,23.927534,11.7
167,CZE,Czech Republic,EDUADULT,UPPSRY,PC_25_64,2017,69.86615,11.7
168,CZE,Czech Republic,EDUADULT,BUPPSRY,PC_25_64,2018,6.139408599999999,11.5
169,CZE,Czech Republic,EDUADULT,TRY,PC_25_64,2018,24.262076999999998,11.5
170,CZE,Czech Republic,EDUADULT,UPPSRY,PC_25_64,2018,69.598511,11.5
171,DNK,Denmark,EDUADULT,BUPPSRY,PC_25_64,2009,24.137625,67.7
172,DNK,Denmark,EDUADULT,TRY,PC_25_64,2009,32.001427,67.7
173,DNK,Denmark,EDUADULT,UPPSRY,PC_25_64,2009,43.86095,67.7
174,DNK,Denmark,EDUADULT,BUPPSRY,PC_25_64,2010,23.289925,67.2
175,DNK,Denmark,EDUADULT,TRY,PC_25_64,2010,33.002644000000004,67.2
176,DNK,Denmark,EDUADULT,UPPSRY,PC_25_64,2010,43.707432,67.2
177,DNK,Denmark,EDUADULT,BUPPSRY,PC_25_64,2011,22.021439,67.8
178,DNK,Denmark,EDUADULT,TRY,PC_25_64,2011,33.662952000000004,67.8
179,DNK,Denmark,EDUADULT,UPPSRY,PC_25_64,2011,44.315609,67.8
180,DNK,Denmark,EDUADULT,BUPPSRY,PC_25_64,2012,21.165937,68.0
181,DNK,Denmark,EDUADULT,TRY,PC_25_64,2012,34.639697999999996,68.0
182,DNK,Denmark,EDUADULT,UPPSRY,PC_25_64,2012,44.194365999999995,68.0
183,DNK,Denmark,EDUADULT,BUPPSRY,PC_25_64,2013,20.812916,67.8
184,DNK,Denmark,EDUADULT,TRY,PC_25_64,2013,35.204632000000004,67.8
185,DNK,Denmark,EDUADULT,UPPSRY,PC_25_64,2013,43.982452,67.8
186,DNK,Denmark,EDUADULT,BUPPSRY,PC_25_64,2014,20.446317999999998,67.4
187,DNK,Denmark,EDUADULT,TRY,PC_25_64,2014,35.800922,67.4
188,DNK,Denmark,EDUADULT,UPPSRY,PC_25_64,2014,43.752758,67.4
189,DNK,Denmark,EDUADULT,BUPPSRY,PC_25_64,2015,19.628629999999998,67.1
190,DNK,Denmark,EDUADULT,TRY,PC_25_64,2015,37.095581,67.1
191,DNK,Denmark,EDUADULT,UPPSRY,PC_25_64,2015,43.275791,67.1
192,DNK,Denmark,EDUADULT,BUPPSRY,PC_25_64,2016,19.726067,65.5
193,DNK,Denmark,EDUADULT,TRY,PC_25_64,2016,37.766045,65.5
194,DNK,Denmark,EDUADULT,UPPSRY,PC_25_64,2016,42.507889,65.5
195,DNK,Denmark,EDUADULT,BUPPSRY,PC_25_64,2017,19.052462,66.1
196,DNK,Denmark,EDUADULT,TRY,PC_25_64,2017,38.889214,66.1
197,DNK,Denmark,EDUADULT,UPPSRY,PC_25_64,2017,42.058323,66.1
198,DNK,Denmark,EDUADULT,BUPPSRY,PC_25_64,2018,18.940752,66.5
199,DNK,Denmark,EDUADULT,TRY,PC_25_64,2018,39.44791,66.5
200,DNK,Denmark,EDUADULT,UPPSRY,PC_25_64,2018,41.611340000000006,66.5
201,FIN,Finland,EDUADULT,BUPPSRY,PC_25_64,2009,18.026873000000002,71.1
203,FIN,Finland,EDUADULT,TRY,PC_25_64,2009,37.268574,71.1
205,FIN,Finland,EDUADULT,UPPSRY,PC_25_64,2009,44.704552,71.1
207,FIN,Finland,EDUADULT,BUPPSRY,PC_25_64,2010,17.01717,70.3
209,FIN,Finland,EDUADULT,TRY,PC_25_64,2010,38.146343,70.3
211,FIN,Finland,EDUADULT,UPPSRY,PC_25_64,2010,44.836487,70.3
213,FIN,Finland,EDUADULT,BUPPSRY,PC_25_64,2011,16.27569,69.5
215,FIN,Finland,EDUADULT,TRY,PC_25_64,2011,39.318207,69.5
217,FIN,Finland,EDUADULT,UPPSRY,PC_25_64,2011,44.406101,69.5
219,FIN,Finland,EDUADULT,BUPPSRY,PC_25_64,2012,15.202716,69.6
221,FIN,Finland,EDUADULT,TRY,PC_25_64,2012,39.661289000000004,69.6
223,FIN,Finland,EDUADULT,UPPSRY,PC_25_64,2012,45.135994000000004,69.6
225,FIN,Finland,EDUADULT,BUPPSRY,PC_25_64,2013,14.109433,68.2
227,FIN,Finland,EDUADULT,TRY,PC_25_64,2013,40.545231,68.2
229,FIN,Finland,EDUADULT,UPPSRY,PC_25_64,2013,45.345337,68.2
231,FIN,Finland,EDUADULT,BUPPSRY,PC_25_64,2014,13.493114000000002,67.6
