,Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
41,"Congo, Dem. Rep.",COD,18.6212616,5.82149839,4.47839451,6.47020149,8.38838673,9.07471561,10.97469044,12.13539028,16.02249908,13.28515053,12.52543068,12.46153259,14.01603508,16.326828,19.37128258,19.87244987,20.58203506,19.41761589,18.51088905
42,"Congo, Rep.",COG,17.44025993,20.63038635,17.11676979,21.71119118,27.88204765,31.51848221,36.79486084,43.03957748,64.76908875,50.04588318,56.91404343,62.34162521,74.91969299,75.47943115,74.514328,60.12829971,54.10359192,51.26589584,47.5177536
43,Colombia,COL,132.87971497,136.61053467,130.42552185,128.00614929,157.57557678,207.15899658,237.01751709,305.99179077,374.42697144,379.69586182,448.08776855,497.38070679,543.07000732,576.70123291,583.05889893,464.63497925,442.13824463,489.64459229,513.15869141
44,Comoros,COM,45.77197266,43.472435,48.72956085,57.74796677,62.88409805,62.45273589999999,62.53800583,67.81578064,72.68344879,68.19288635,67.074646,78.71292114,65.57981873,69.27052307,68.98582458,60.21103287,60.74297714,61.72988892,65.22776031
45,Cabo Verde,CPV,63.03440475,67.14394379,72.8820343,89.07603455,98.08786774,100.67198181,118.32913971,133.41764832,133.2350769,135.40571594,151.16014099,161.03373718,176.98373413,191.2829895,191.17623901,146.60760498,151.69641113,176.48937988,194.85687256
46,Costa Rica,CRI,248.75341797,256.39358521,277.69869995,289.06826782,292.03182983,311.70877075,362.50491333,427.04202271,515.43334961,534.57446289,660.58642578,749.6449585,784.48297119,825.39324951,831.3001709,883.91546631,878.88891602,861.32006836,909.6730957000001
47,Caribbean small states,CSS,254.31573078482103,249.085264604142,267.46175815105204,273.626088645806,312.718499661009,345.807913563063,370.47028092723394,429.25130954805604,472.93893638009496,460.24533308046404,485.84130959611997,506.38582249845,517.859726606786,535.499458697572,545.771013019577,569.963841274863,567.913190964623,610.205642007467,621.2457333690239
48,Cuba,CUB,180.81121826,198.13365173,213.39079285,227.09095764,231.98782349,331.53213501,387.42019653,571.26550293,612.24359131,679.62634277,612.46508789,699.83428955,604.21234131,713.24133301,866.07562256,986.73400879,984.84844971,1000.28955078,986.93731689
49,Curacao,CUW,,,,,,,,,,,,,,,,,,,
50,Cayman Islands,CYM,,,,,,,,,,,,,,,,,,,
51,Cyprus,CYP,750.51672363,782.16162109,890.48297119,1145.05847168,1286.97155762,1366.01708984,1474.02062988,1694.27185059,2155.24658203,2105.4777832000004,2045.2923584000002,2114.66894531,1899.37255859,1916.32263184,1873.89135742,1616.54943848,1681.90368652,1780.34790039,1954.40686035
