,LOCATION,INDICATOR,SUBJECT,MEASURE,TIME,Value,Country
114,CAN,EDUADULT,UPPSRY,PC_25_64,2013,36.57077,Canada
115,CAN,EDUADULT,UPPSRY,PC_25_64,2014,36.373581,Canada
116,CAN,EDUADULT,UPPSRY,PC_25_64,2015,35.228446999999996,Canada
117,CAN,EDUADULT,UPPSRY,PC_25_64,2016,34.343746,Canada
118,CAN,EDUADULT,UPPSRY,PC_25_64,2017,34.412544,Canada
119,CAN,EDUADULT,UPPSRY,PC_25_64,2018,33.733723,Canada
120,CZE,EDUADULT,BUPPSRY,PC_25_64,2009,8.5971041,Czech Republic
121,CZE,EDUADULT,BUPPSRY,PC_25_64,2010,8.0573692,Czech Republic
122,CZE,EDUADULT,BUPPSRY,PC_25_64,2011,7.6677351,Czech Republic
123,CZE,EDUADULT,BUPPSRY,PC_25_64,2012,7.549176200000001,Czech Republic
124,CZE,EDUADULT,BUPPSRY,PC_25_64,2013,7.1797996,Czech Republic
125,CZE,EDUADULT,BUPPSRY,PC_25_64,2014,6.809908900000001,Czech Republic
126,CZE,EDUADULT,BUPPSRY,PC_25_64,2015,6.841207000000001,Czech Republic
127,CZE,EDUADULT,BUPPSRY,PC_25_64,2016,6.5732007,Czech Republic
128,CZE,EDUADULT,BUPPSRY,PC_25_64,2017,6.206314099999999,Czech Republic
129,CZE,EDUADULT,BUPPSRY,PC_25_64,2018,6.139408599999999,Czech Republic
130,CZE,EDUADULT,TRY,PC_25_64,2009,15.544437,Czech Republic
131,CZE,EDUADULT,TRY,PC_25_64,2010,16.764982,Czech Republic
132,CZE,EDUADULT,TRY,PC_25_64,2011,18.243177,Czech Republic
133,CZE,EDUADULT,TRY,PC_25_64,2012,19.277992,Czech Republic
134,CZE,EDUADULT,TRY,PC_25_64,2013,20.45986,Czech Republic
135,CZE,EDUADULT,TRY,PC_25_64,2014,21.51013,Czech Republic
136,CZE,EDUADULT,TRY,PC_25_64,2015,22.186741,Czech Republic
137,CZE,EDUADULT,TRY,PC_25_64,2016,22.971544,Czech Republic
138,CZE,EDUADULT,TRY,PC_25_64,2017,23.927534,Czech Republic
139,CZE,EDUADULT,TRY,PC_25_64,2018,24.262076999999998,Czech Republic
140,CZE,EDUADULT,UPPSRY,PC_25_64,2009,75.858459,Czech Republic
